Index;Date
0;02/01/2008
1;03/01/2008
2;04/01/2008
3;05/01/2008
4;06/01/2008
5;07/01/2008
6;08/01/2008
7;09/01/2008
8;10/01/2008
9;11/01/2008
10;12/01/2008
11;13/01/2008
12;14/01/2008
13;15/01/2008
14;16/01/2008
15;17/01/2008
16;18/01/2008
17;19/01/2008
18;20/01/2008
19;22/01/2008
20;23/01/2008
21;24/01/2008
22;25/01/2008
23;26/01/2008
24;27/01/2008
25;28/01/2008
26;29/01/2008
27;30/01/2008
28;31/01/2008
29;01/02/2008
30;02/02/2008
31;03/02/2008
32;04/02/2008
33;05/02/2008
34;06/02/2008
35;07/02/2008
36;08/02/2008
37;09/02/2008
38;10/02/2008
39;11/02/2008
40;12/02/2008
41;13/02/2008
42;14/02/2008
43;15/02/2008
44;16/02/2008
45;17/02/2008
46;19/02/2008
47;20/02/2008
48;21/02/2008
49;22/02/2008
50;23/02/2008
51;24/02/2008
52;25/02/2008
53;26/02/2008
54;27/02/2008
55;28/02/2008
56;29/02/2008
57;01/03/2008
58;02/03/2008
59;03/03/2008
60;04/03/2008
61;05/03/2008
62;06/03/2008
63;07/03/2008
64;08/03/2008
65;10/03/2008
66;11/03/2008
67;12/03/2008
68;13/03/2008
69;14/03/2008
70;15/03/2008
71;16/03/2008
72;17/03/2008
73;18/03/2008
74;19/03/2008
75;20/03/2008
76;21/03/2008
77;22/03/2008
78;23/03/2008
79;24/03/2008
80;25/03/2008
81;26/03/2008
82;27/03/2008
83;28/03/2008
84;29/03/2008
85;30/03/2008
86;31/03/2008
87;01/04/2008
88;02/04/2008
89;03/04/2008
90;04/04/2008
91;05/04/2008
92;06/04/2008
93;07/04/2008
94;08/04/2008
95;09/04/2008
96;10/04/2008
97;11/04/2008
98;12/04/2008
99;13/04/2008
100;14/04/2008
101;15/04/2008
102;16/04/2008
103;17/04/2008
104;18/04/2008
105;19/04/2008
106;20/04/2008
107;21/04/2008
108;22/04/2008
109;23/04/2008
110;24/04/2008
111;25/04/2008
112;26/04/2008
113;27/04/2008
114;28/04/2008
115;29/04/2008
116;30/04/2008
117;01/05/2008
118;02/05/2008
119;03/05/2008
120;04/05/2008
121;05/05/2008
122;06/05/2008
123;07/05/2008
124;08/05/2008
125;09/05/2008
126;10/05/2008
127;11/05/2008
128;12/05/2008
129;13/05/2008
130;14/05/2008
131;15/05/2008
132;16/05/2008
133;17/05/2008
134;18/05/2008
135;19/05/2008
136;20/05/2008
137;21/05/2008
138;22/05/2008
139;23/05/2008
140;24/05/2008
141;25/05/2008
142;27/05/2008
143;28/05/2008
144;29/05/2008
145;30/05/2008
146;31/05/2008
147;01/06/2008
